Company name;Country / Area;;;
Sumitomo Bakelite Company Limited;Japan;;;
Sumitomo Forestry Co., Ltd.;Japan;;;
Sumitomo Heavy Industries. Ltd.;Japan;;;
Sumitomo Life Insurance Company;Japan;;;
Sumitomo Metal Mining Co., Ltd.;Japan;;;
SUMITOMO MITSUI CONSTRUCTION CO.,LTD.;Japan;;;
Sumitomo Pharma Co., Ltd.;Japan;;;
Sumitomo Rubber Industries, Ltd.;Japan;;;
Sumitomo Seika Chemicals Co. Ltd.;Japan;;;
Summerset Group Holdings;New Zealand;;;
Suntory Holdings Limited;Japan;;;
Suzano Papel & Celulose;Brazil;;;
Suzhou Advance Printing Co., Ltd.;Mainland China;;;
Swire Pacific;Hong Kong, China;;;
Swiss Post;Switzerland;;;
Swiss Steel Holding AG;Switzerland;;;
Swisscom;Switzerland;;;
Syensqo;Belgium;;;
SYNECHRON INC;India;;;
Sysmex Corporation;Japan;;;
T. İŞ BANKASI A.Ş.;Türkiye;;;
T.C. ZİRAAT BANKASI A.Ş.;Türkiye;;;
T.GARANTİ BANKASI A.Ş.;Türkiye;;;
T.SINAİ KALKINMA BANKASI A.Ş.;Türkiye;;;
Taisei Corporation;Japan;;;
TS Financial Holding Co., Ltd.;Taiwan, China;;;
Taiwan Business Bank;Taiwan, China;;;
Taiwan Cooperative Financial Holdings;Taiwan, China;;;
TAIYO YUDEN CO., LTD.;Japan;;;
Takasago Thermal Engineering Co., Ltd.;Japan;;;
Takenaka Corporation;Japan;;;
Tapestry Inc;United States of America;;;
Tarkett;France;;;
Taylor Wimpey Plc;United Kingdom;;;
TCC Group Holdings CO., LTD.;Taiwan, China;;;
TCL China Star Optoelectronics Technology Co., Ltd.;Mainland China;;;
TDK Corporation;Japan;;;
TECO Electric & Machinery Co., Ltd.;Taiwan, China;;;
TEKKEN CORPORATION;Japan;;;
Tele2 AB;Sweden;;;
Telefonica Brasil S.A.;Brazil;;;
Telefónica S.A.;Spain;;;
Telekom Austria AG;Austria;;;
Telia Company AB;Sweden;;;
Temenos AG;Switzerland;;;
Temsa Skoda Sabancı Ulaşım Araçları A.Ş.;Türkiye;;;
Terumo Corporation;Japan;;;
Tesa SE;Germany;;;
Thai Beverage PCL;Thailand;;;
Thales;France;;;
The Chiba Bank, Ltd.;Japan;;;
The Chiba Kogyo Bank, Ltd.;Japan;;;
The Dow Chemical Company;United States of America;;;
The Edrington Group;United Kingdom;;;
The Gunma Bank, Ltd.;Japan;;;
The Hachijuni Bank, Ltd.;Japan;;;
The Hyakujushi Bank, Ltd.;Japan;;;
The Navigator Company;Portugal;;;
The Nisshin OilliO Group,Ltd.;Japan;;;
thyssenkrupp AG;Germany;;;
TietoEVRY Oyj;Finland;;;
TIM Brasil;Brazil;;;
TIS Inc.;Japan;;;
Titan S.A.;Cyprus;;;
TK Elevator GmbH;Germany;;;
TOA CORPORATION - 1885 JP;Japan;;;
Toda Corporation;Japan;;;
Tokio Marine Holdings, Inc.;Japan;;;
Tokyo Electron Ltd.;Japan;;;
Tokyo Tatemono Co., Ltd.;Japan;;;
Tokyu Construction Co., Ltd.;Japan;;;
Tokyu Corporation;Japan;;;
Tokyu Fudosan Holdings Corporation;Japan;;;
TOPY INDUSTRIES.LIMITED;Japan;;;
Toshiba Corporation;Japan;;;
Toto Ltd.;Japan;;;
Toyo Tire Corporation;Japan;;;
Toyobo Co., Ltd.;Japan;;;
Toyota Motor Corporation;Japan;;;
Toyota Tsusho Corporation;Japan;;;
TPV Technology Limited;Mainland China;;;
Trane Technologies;United States of America;;;
TRC Companies, Inc.;United States of America;;;
Trivium Packaging B.V;Netherlands;;;
True Corporation;Thailand;;;
TSUMURA & CO.;Japan;;;
Tubacex;Spain;;;
TUI Group;Germany;;;
TÜRK HAVACILIK VE UZAY SANAYİİ A.Ş.;Türkiye;;;
TÜRK TELEKOMÜNİKASYON A.Ş.;Türkiye;;;
TÜRKİYE HALK BANKASI A.Ş.;Türkiye;;;
TURKIYE VAKIFLAR BANKASI TURK ANONIM ORTAKLIGI;Türkiye;;;
UBS Group AG;Switzerland;;;
UCB SA;Belgium;;;
Unite Group;United Kingdom;;;
United Group B.V.;Netherlands;;;
United Microelectronics;Taiwan, China;;;
UPM-Kymmene Corporation;Finland;;;
Valeo Sa;France;;;
Vanguard International Semiconductor Corporation;Taiwan, China;;;
Vattenfall Group;Sweden;;;
Veidekke ASA;Norway;;;
VEOLIA ENVIRONNEMENT;France;;;
Verescence;France;;;
VERSION 1 HOLDINGS LIMITED;Ireland;;;
VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.;Türkiye;;;
VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.;Türkiye;;;
VINCI;France;;;
Virtusa Corporation;United States of America;;;
Vodafone Group;United Kingdom;;;
voestalpine AG;Austria;;;
Volvo Car Group;Sweden;;;
Vontier Corp;United States of America;;;
Votorantim Cimentos;Brazil;;;
Wacker Chemie AG;Germany;;;
Waste Management, Inc.;United States of America;;;
WE Soda Group;United Kingdom;;;
WEATHERNEWS INC.;Japan;;;
Webuild S.p.A.;Italy;;;
Weir Group;United Kingdom;;;
Western Refrigeration;India;;;
WILLMOTT DIXON LTD;United Kingdom;;;
WILO;Germany;;;
Win Semiconductors Corp;Taiwan, China;;;
Winbond Electronics Corp;Taiwan, China;;;
Wistron Corp;Taiwan, China;;;
Wiwynn Corporation;Taiwan, China;;;
WNC Corporation;Taiwan, China;;;
Worldline SA;France;;;
Wus Printed Circuit (Kunshan) Co., Ltd.;Mainland China;;;
WuXi AppTec Co., Ltd.;Mainland China;;;
WuXi Biologics (Cayman) Inc;Mainland China;;;
Xerox Corporation;United States of America;;;
XP Power;Singapore;;;
Xylem Inc;United States of America;;;
Yageo Corporation;Taiwan, China;;;
Yakult Honsha Co Ltd.;Japan;;;
Yamaha Corporation;Japan;;;
YAMASHIN-FILTER CORP.;Japan;;;
Yamato Holdings Co., Ltd.;Japan;;;
YAPI VE KREDİ BANKASI A.Ş.;Türkiye;;;
YKK;Japan;;;
Yokogawa Electric Corporation;Japan;;;
Yokohama Financial Group, Inc.;Japan;;;
Yuanta Financial Holdings;Taiwan, China;;;
ZF Group;Germany;;;
Zhejiang Raybow Pharmaceutical Co., Ltd.;Mainland China;;;
Zhejiang Z&Z Industrial Co., Ltd;Mainland China;;;
Zimmer Biomet Holdings, Inc.;United States of America;;;
ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.;Türkiye;;;
ZOZO, Inc.;Japan;;;
ZRP Printing (Kunshan) Company Limited;Mainland China;;;
ZTE Corporation;Mainland China;;;
ZUELLIG PHARMA HOLDINGS PTE LTD;Singapore;;;
