Company name;Country / Area;;;
Daiichi Sankyo Co., Ltd.;Japan;;;
Daikin Industries, Ltd.;Japan;;;
Daio Paper Corporation;Japan;;;
Daiseki Co., Ltd.;Japan;;;
Daishi Hokuetsu Financial Group;Japan;;;
Daiwa House REIT Investment Corporation;Japan;;;
DAIWA LEASE CO., LTD.;Japan;;;
Danone S.A.;France;;;
DaVita Inc.;United States of America;;;
DCC PLC;Ireland;;;
delfortgroup AG;Austria;;;
Delta Electronics, Inc.;Taiwan, China;;;
Denka Company Limited;Japan;;;
Denso Corporation;Japan;;;
Dentsu Group Inc.;Japan;;;
Deutsche Bahn AG;Germany;;;
Deutsche Telekom AG;Germany;;;
DIAM Group;France;;;
DMG MORI CO., LTD.;Japan;;;
dormakaba Holding AG;Switzerland;;;
Dr. Ing. h.c. F. Porsche AG;Germany;;;
Drax Group;United Kingdom;;;
DS Smith Plc;United Kingdom;;;
DSM-Firmenich AG;Switzerland;;;
DTS CORPORATION;Japan;;;
Duskin Co., Ltd.;Japan;;;
DXC Technology;United States of America;;;
E Ink Holdings Inc.;Taiwan, China;;;
E. SUN FINANCIAL HOLDING COMPANY, LTD.;Taiwan, China;;;
E.ON SE;Germany;;;
Eaton Corporation;United States of America;;;
Eaton Corporation;United States of America;;;
Ecolab Inc.;United States of America;;;
EDF;France;;;
EDP S.A.;Portugal;;;
EIKEN CHEMICAL CO.,LTD.;Japan;;;
Eisai Co., Ltd.;Japan;;;
EIZO Corporation;Japan;;;
EKOTEN TEKSTIL SANAYI VE TICARET ANONIM SIRKETI;Türkiye;;;
Electrolux;Sweden;;;
Elis;France;;;
Elkem ASA;Norway;;;
ELSAN ELEKTRIK GERECLERI SANAYI VE TICARET ANONIM SIRKETI;Türkiye;;;
Emerson Electric Co.;United States of America;;;
Empresas CMPC;Chile;;;
Enav;Italy;;;
EnBW Energie Baden-Württemberg AG;Germany;;;
Endesa;Spain;;;
ENEL S.p.A.;Italy;;;
ENERJİSA ENERJİ A.Ş.;Türkiye;;;
ENGIE Brasil Energia S.A.;Brazil;;;
Ennostar Inc.;Taiwan, China;;;
ENTEK ELEKTRIK URETIMI ANONIM SIRKETI;Türkiye;;;
Envision Group;Mainland China;;;
ERG S.p.A;Italy;;;
Ermenegildo Zegna NV;Italy;;;
Ernst & Young Global Ltd;United Kingdom;;;
Essentra;United Kingdom;;;
EssilorLuxottica;France;;;
Essity;Sweden;;;
FAGOR EDERLAN SOCIEDAD COOPERATIVA;Spain;;;
Fanuc Corporation;Japan;;;
Far Eastern New Century Corporation;Taiwan, China;;;
Far EasTone Telecommunications;Taiwan, China;;;
Fast Retailing Co., Ltd.;Japan;;;
Fedrigoni;Italy;;;
FENGSHI GROUP;Mainland China;;;
Fiba Yenilenebilir Enerji Holding A.Ş.;Türkiye;;;
First Financial Holding Co., Ltd.;Taiwan, China;;;
FMC Corp;United States of America;;;
Formosa Advanced Technologies Co., Ltd.;Taiwan, China;;;
Formosa Chemicals and Fibre Corporation;Taiwan, China;;;
Formosa Plastics Corporation;Taiwan, China;;;
Formosa Taffeta Co., Ltd.;Taiwan, China;;;
Fortum Oyj;Finland;;;
FORVIA;France;;;
Foxconn Industrial Internet;Mainland China;;;
Fubon Financial Holdings;Taiwan, China;;;
Fuji Electric Co., Ltd.;Japan;;;
FUJI OIL CO., LTD.;Japan;;;
FUJIFILM Holdings Corporation;Japan;;;
Fujita Corporation;Japan;;;
Fujitsu Limited;Japan;;;
Furukawa Electric Co., Ltd.;Japan;;;
Fuyo General Lease Co., Ltd.;Japan;;;
GDZ ELEKTRIK DAGITIM ANONIM SIRKETI;Türkiye;;;
GEA Group AG;Germany;;;
Gecina;France;;;
GEDİZ ELEKTRİK PERAKENDE SATIŞ ANONİM ŞİRKETİ;Türkiye;;;
General Interface Solution Limited;Taiwan, China;;;
Genpact Limited;Bermuda;;;
Geodis;France;;;
Georg Fischer;Switzerland;;;
Getlink;France;;;
Givaudan SA;Switzerland;;;
Glenveagh Properties Plc;Ireland;;;
GlobalWafers Co. Ltd;Taiwan, China;;;
GMO Payment Gateway, Inc.;Japan;;;
Gold Fields Limited;South Africa;;;
GOLDEN GOOSE;Italy;;;
Groupe Bruxelles Lambert SA;Belgium;;;
Groupe Fnac-Darty;France;;;
Groupe La Poste;France;;;
GRUPO CAJAMAR;Spain;;;
