sbti_id;company_name
40008862;AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.
40007326;Aéroports de Paris SA
40003095;AFRY (ÅF Pöyry)
40007862;AGC Inc.
40003407;Å Energi
40003414;Agendi Inc
40012876;Agilent Technologies, Inc
40006541;Agility
40004285;AGRANA Beteiligungs-AG
40007848;Agrial
40007526;Agromaks Sp. z o.o.
40005284;AGROMILLORA GROUP
40006302;Agropur Cooperative
40012632;Aguas Andinas S.A.
40008938;Ahlstrom Oyj
40015343;AIA Group Limited
40004843;AIB Group Plc
40009339;Aichi Hoist Industry Co., Ltd.
40008279;Aico
40005978;Aigle International SA
40008355;Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua, S.A.
40002460;Aile CO.Ltd.
40005632;Air France - KLM Group
40000728;Air France Group
40005062;Air Liquide Group S.A.
40002346;Airbnb, Inc
40003392;Airbus
40012672;AIRINC
40004599;Airsys Refrigeration Engineering Technology (Beijing) Co., Ltd.
40000479;Airties Group S.A.S.
40015281;AISACHI Co.,Ltd.
40003479;AISIN CORPORATION
40001195;Aitken Spence PLC
40007711;AJE GROUP
40011928;Ajinomoto Co., Inc.
40008538;Akamai Technologies INC
40010018;Akçansa Çimento Sanayi ve Ticaret A. Ş.
40014356;AKDAŞ DÖKÜM A.Ş.
40008103;Aker Carbon Capture ASA
40007850;Aker Horizons ASA
40014148;Aker Solutions ASA
40014969;Akila
40003394;AKISTEEL CO.LTD
40002730;Akplas
40002028;AKT II Limited
40011466;AkzoNobel NV
40006002;Al-Karam Textile Mills (Pvt) Ltd
40008366;AL-RAHIM TEXTILE INDUSTRIES
40007026;Alaya Consulting Ltd.
40012413;Albaad Massuot Yitzhak Ltd.
40001738;Albaraka Türk Participation Bank
40015264;Albert & Hummel GmbH
40012069;Albert Bartlett and Sons (Airdrie) Ltd.
40008718;Albertsons Companies, Inc
40015245;Alchem International Private Limited
40006403;Alcumus
40012346;ALD
40014629;ALDI Einkauf SE & Co. oHG
40013661;ALDI SOUTH Group
40007728;ALDO Group Inc.
40009526;ALE INTERNATIONAL SASU (GROUP)
40015248;Alfa Laval AB
40003730;Alfen N.V.
40000237;Alfred Kärcher SE & Co. KG
40009520;Alfred Ritter GmbH & Co. KG
40001356;Algar Telecom
40009906;Alibaba Group Holding Limited
40001072;ALIMAC s.r.l.
40000337;Alison Hayes
40007659;ALK-Abelló A/S
40008772;Alkaram Towel Industries (Pvt.) Ltd.
40002685;All for One Group SE
40008373;Allbirds
40001385;Allegro
40000273;Alleima AB
40015421;A&O Shearman
40011978;Allens
40011124;Allford Hall Monaghan Morris Limited
40003495;Allglass Windscreens Repair Ltd
40012472;Alliance Construction Materials Limited
40005248;Alliance One Apparel Co.,Ltd
40000126;Allianz Investment Management SE
40010709;Allied Sustainability and Environmental Consultants Group Limited
40010885;Alltech, Inc.
40008168;Alma Media
40008618;Almax Co.,Ltd
40012788;ALMETAX MANUFACTURING CO.,LTD.
40003924;Almhaga AB
40012418;Alpek Polyester
40006391;Alpek S.A.B. de C.V. and Subsidiaries (Alpek Polyester, Styropek, Indelpro, Polioles & Others)
40007112;Alperia SpA
40002847;ALPHA INDO NUSA
40009770;Alphabet Inc.
40010087;Alpin Çorap San. Ve Tic. A.Ş
40013012;Alpkit
40011074;Alpla Werke Alwin Lehner GmbH Co KG (ALPLA Group)
40011929;Alsico Group
40007253;Alstom
40013075;alstria office AG
40008084;Altavia
40012720;Altech Co.,Ltd.
40012190;Alten Group
40011803;Alterra Mountain Company
40000325;Altor Equity Partners AB
40013535;Altri SGPS S.A.
40004335;Altria Group, Inc.
40005835;Alun Griffiths (Contractors) Ltd
40003587;Alvinesa Natural Ingredients
40012740;AM Værktøj Odense A/S
40004547;AMA SA
